scenario,scenario_label,target,stage,model,metric,train_mean,cv_mean,cv_std,gap,n_features,best_params
early_warning_no_financial,Early Warning sem financeiras,principal,default,logistic,f2,0.6517780399494383,0.6464554671969737,0.022361422986771448,0.005322572752464616,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,logistic,roc_auc,0.8839765340840172,0.8731123976678351,0.011236676382928851,0.010864136416182113,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,logistic_balanced,accuracy,0.8243706396097734,0.8100812965761633,0.010819053409787099,0.014289343033610069,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,logistic_balanced,precision,0.7037349469474116,0.6837439947838668,0.018652124463097372,0.01999095216354474,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,logistic_balanced,recall,0.7824465092759395,0.7615755545403786,0.02467870601197677,0.020870954735560887,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,logistic_balanced,f1,0.7409945451614208,0.7202366269204441,0.015369786845979477,0.020757918240976725,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,logistic_balanced,f2,0.7653180967719994,0.7443898620370974,0.01943419532323227,0.020928234734901907,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,logistic_balanced,roc_auc,0.8848005646531222,0.8731057967789131,0.010126957309589568,0.011694767874209089,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,random_forest,accuracy,1.0,0.8223555161811454,0.008877476858308342,0.17764448381885456,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,random_forest,precision,1.0,0.7735021508114758,0.009645586163151655,0.22649784918852423,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,random_forest,recall,1.0,0.6317395056088524,0.036869270990848906,0.3682604943911476,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,random_forest,f1,1.0,0.6948609803390472,0.023123878867049422,0.3051390196609528,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,random_forest,f2,1.0,0.6554527318438608,0.032022209810313035,0.34454726815613923,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,random_forest,roc_auc,1.0,0.8686401505699898,0.01037739909870238,0.13135984943001022,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,random_forest_balanced,accuracy,1.0,0.8242920423159102,0.004732905556819966,0.17570795768408976,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,random_forest_balanced,precision,1.0,0.783927747216515,0.01590817229594675,0.21607225278348496,22,{}
early_warning_no_financial,Early Warning sem financeiras,principal,default,random_forest_balanced,recall,1.0,0.6267143799807117,0.03984251942627156,0.37328562001928833,22,{}
